Season,#,Title,Directed,Written,Airdate,Description
14,1,"""The Gang Gets Romantic""",Glenn Howerton,Rob McElhenney & Charlie Day,2019/09/25,"Mac concocts a scheme to attract single women to Airbnb Dennis' bedroom, while Frank and Charlie concoct similar plans to attract young, European coeds. But neither ad attracts their intended target."
14,2,"""Thunder Gun 4: Maximum Cool""",Heath Cullens,Conor Galvin,2019/10/02,"The Gang finds themselves in the middle of a focus group after a screening of Thunder Gun 4: Maximum Cool. They are determined to restore glory and traditional American values back into the franchise, even if it involves sabotage."
14,3,"""Dee Day""",Pete Chatmon,Megan Ganz,2019/10/09,"The Guys are in the final preparation stage for an unknown scheme when Dee excitedly enters to inform them that today is ""Dee Day."" The guys have to do everything she wants without complaint."
14,4,"""The Gang Chokes""",Glenn Howerton,John Howell Harris,2019/10/16,"Annoyed that the Gang failed to react as he nearly choked to death on an appetizer, Frank decides the Waiter, his savior, is the only person who has his back."
14,5,"""The Gang Texts""",Tim Roche,Rob McElhenney & Charlie Day,2019/10/23,"During their trip to the Philadelphia Zoo, Mac sets up a text group chain for The Gang, but confusion sets in and The Gang must learn from the meerkats on how to communicate properly in a group."
14,6,"""The Janitor Always Mops Twice""",Heath Cullens,Megan Ganz,2019/10/30,"In the black-and-white noir world of his memory, Charlie navigates the seedy underbelly of Philadelphia as Frank has been ""diarrhea poisoned,"" and it's up to Charlie to clean up the mess."
14,7,"""The Gang Solves Global Warming""",Pete Chatmon,Rob McElhenney & Charlie Day,2019/11/06,"As a record-breaking heat wave overtakes Philly, the Gang plans to profit from global warming by pumping up the A/C so people will congregate at Paddy's and save energy at home."
14,8,"""Paddy's Has a Jumper""",Kimberly McCullough,Dannah Phirman & Danielle Schneider,2019/11/13,"Trapped inside Paddy's with a suicide jumper on the roof, the Gang wonders if they should bother intervening with an algorithm of their own - Could he, would he, should we?"
14,9,"""A Woman's Right to Chop""",Pete Chatmon,Dannah Phirman & Danielle Schneider,2019/11/20,"When a trendy new hair salon opens up right next door to Paddy's, Dennis and Frank go on the offensive to stop women from cutting off their hair. Meanwhile, Mac is reunited with his childhood dog Poppins."
14,10,"""Waiting for Big Mo""",Pete Chatmon,David Hornsby,2019/11/20,"Dennis and Charlie stand guard at the entrance to their laser tag base waiting to ambush the legendary ""Big Mo,"" but Dennis begins to ponder the reasons they play laser tag and if their pursuit of a victory is worth their effort."
15,1,"""2020: A Year In Review""",Todd Biermann,"Rob McElhenney, Charlie Day & Glenn Howerton",2021/12/01,"The Gang looks back on 2020 to justify their numerous PPE loans. In doing so, it is revealed that they contributed to the chaos of the past political year way more than anyone could have imagined."
15,2,"""The Gang Makes Lethal Weapon 7""",Pete Chatmon,Keyonna Taylor & Katie McElhenney,2021/12/01,"Upon discovering that their self-made Lethal Weapon sequels have been pulled from the local library, the Gang decides to address their political incorrectness by making another film -- Lethal Weapon 7."
15,3,"""The Gang Buys a Roller Rink""",Richie Keen,Rob Rosell & David Hornsby,2021/12/08,"It's the 90s, and the Gang hangs out one last time at the local roller rink before going their separate ways. An innocent young Dennis learns the horrifying details of Frank's business, a truly sweet Dee is excited to head off for Hollywood, while Charlie and Mac's jobs at the roller rink are in jeopardy, leaving them to figure out their next move."
15,4,"""The Gang Replaces Dee With a Monkey""",Todd Biermann,Glenn Howerton & Nina Pedrad,2021/12/08,"When the Gang suspects Dee is menopausal, they scramble to find a new employee for Paddy's Pub. Meanwhile, Dee decides to put her acting career on hold in order to mentor young actors."
15,5,"""The Gang Goes to Ireland""",Megan Ganz,"Rob McElhenney, Charlie Day & Glenn Howerton",2021/12/15,"The Gang's in Dublin! Dennis longs for a charming, authentic European experience, but ends up helping Frank with some of his business's ""dirty work."" Mac and Charlie learn about their Irish heritage. Dee rushes to the set of an Irish soap opera, where she will play the role of ""Obnoxious American MILF."""
15,6,"""The Gang's Still in Ireland""",Megan Ganz,"Rob McElhenney, Charlie Day & Glenn Howerton",2021/12/15,Dennis and Dee explore their new accommodations in the countryside; Frank accompanies Charlie to find the truth about Charlie's Irish childhood pen pal; Mac has an identity crisis and decides to join the seminary.
15,7,"""Dee Sinks in a Bog""",Pete Chatmon,David Hornsby & Rob Rosell,2021/12/22,"Guided by a young priest, Mac spends a day at the seminary to truly understand what it takes to become a priest. Dennis and Frank plan an elaborate trap at the castle to humiliate Charlie's pen pal. Dee prepares for a date with an Irish doctor, only to find herself sinking in a bog. Having learned of his pen pal's true identity, Charlie bonds with him and makes a choice that will forever change the Gang."
15,8,"""The Gang Carries a Corpse Up a Mountain""",Richie Keen,Megan Ganz,2021/12/22,"The Gang attempts to ascend a mountain in order for Charlie to fulfill an old and mysterious Irish burial tradition. But one by one, the Gang backs out until Charlie is left to honor the dead body alone."
16,1,"""The Gang Inflates""",Heath Cullens,Nina Pedrad,2023/06/07,"Dennis and Mac get into inflatable furniture to deal with the economy's inflation, while Dee tries to find a place to crash after being evicted by her greedy landlord and Charlie wants to pitch Frank his crypto/online investment idea. And in this inflation episode everything gets bigger - Dee's desperation, Mac's lips, and even Charlie's apartment![8]"
16,2,"""Frank Shoots Every Member of the Gang""",Richie Keen,Davis Kop,2023/06/07,"After Frank shoots Dennis and Dee, they resolve to take Frank's gun away. Mac and Charlie go on a road trip with their moms to get their inheritances -- for Mac, it's letters written by his grandfather which have fallen into his Uncle Donald's hands, while for Charlie, it's a jar of teeth that is now in the hands of his sisters, Bunny and Candy.[8]"
16,3,"""The Gang Gets Cursed""",Richie Keen,David Hornsby,2023/06/14,"The Gang's going to be on Bar Rescue but a series of bad omens leads them to believe they are all cursed. They set off to undo the curses and make amends to the people/things they've wronged. While Mac, who's on a run of good luck, meets Chase Utley and invites him for a catch.[9]"
16,4,"""Frank vs. Russia""",Heath Cullens,Megan Ganz,2023/06/21,"Charlie cheers on Frank at a local chess tournament against a Russian grandmaster. Dennis helps Mac and Dee find boyfriends after getting irritated by Mac's current boyfriend, Johnny.[10]"
16,5,"""Celebrity Booze: The Ultimate Cash Grab""",Megan Ganz,"Rob McElhenney, Charlie Day & Glenn Howerton",2023/06/28,"When news spreads of Bryan Cranston and Aaron Paul's visit to Philadelphia to promote their Dos Hombres mezcal brand, the Guys decide to pitch them their own liquor. And the Gang takes to the skies to get a taste of the glamorous high life.[11]"
16,6,"""Risk E. Rat's Pizza & Amusement Center""",Nina Pedrad,Rob Rosell,2023/07/05,"The Gang goes to ""Risk E. Rat's"", their childhood version of Chuck E. Cheese, only to find all the riskiness that made it exciting has been systematically replaced with safety and overcautiousness. Dennis and Charlie try to find the old ride with the animatronic boobs. Dee takes Frank on a scavenger to find risqué jokes hidden throughout the establishment. Mac plays Skee-Ball to win tickets for a prize.[12]"
16,7,"""The Gang Goes Bowling""",Megan Ganz,"Rob McElhenney, Charlie Day & Glenn Howerton",2023/07/12,"The guys crash Dee's bowling league night and compete in a Battle of the Sexes at a bowling alley owned by the McPoyles. Dee, The Waitress, Artemis, and Gail the Snail versus Dennis, Mac, Charlie, and Frank in a classic match to prove once and for all who has the upper hand in sports.[13]"
16,8,"""Dennis Takes a Mental Health Day""",Heath Cullens,Ross Maloney,2023/07/19,"After a physical reveals that Dennis has elevated blood pressure, he decides to take a day away from The Gang to de-stress at the beach. But life has other plans, and his day spirals into a domino-chain of tech and customer service challenges until he can no longer contain his rage.[14]"
